month,year,nfirms,me,div_yld,log_excess_ret
9,1992,6853,4171918436.484375,0.02739297749017823,0.0097790632026038
10,1992,6879,4214047389.234375,0.02713100483844681,0.008499082155375925
11,1992,6904,4375245737.171875,0.0263417673731985,0.037016161513268635
12,1992,6959,4476639721.484375,0.02579563235928542,0.014981510357938283
1,1993,6968,4530239250.546875,0.02547775317364298,0.009858329256324195
2,1993,7017,4552996191.328125,0.02537522987247496,0.0029134574936882105
3,1993,7074,4694951399.914062,0.02498308791607049,0.02234074744728774
4,1993,7119,4582033622.742188,0.02560650445679807,-0.028174230632666688
5,1993,7187,4716249638.6875,0.0251471091221292,0.026754370718846662
6,1993,7271,4788343866.828125,0.02489754072912864,0.002955659652684887
7,1993,7327,4788555872.796875,0.02493240340894053,-0.0033613913620544693
8,1993,7389,4979670720.546875,0.02412113049015268,0.036205850451053914
9,1993,7461,5013412949.53125,0.02414685343510714,-0.001884702901885039
10,1993,7539,5111397924.28125,0.02380734387435577,0.015434698530219232
11,1993,7645,5024667176.390625,0.02448239755865505,-0.020270226753557632
12,1993,7755,5183963987.4375,0.02388239293063521,0.01678625532757607
1,1994,7802,5355180850.453125,0.0233684882597572,0.02842755053272977
2,1994,7856,5228539382.375,0.02413335787150899,-0.02698506018376018
3,1994,7937,4996065351.828125,0.02522842443359419,-0.0495814183293702
4,1994,7972,5044254762.75,0.02514783130924219,0.006537784364450841
5,1994,8033,5090261669.5625,0.02515808283162663,0.006247557489900744
6,1994,8084,4958513008.3125,0.02597082975724994,-0.03172008775429193
7,1994,8113,5115826186.40625,0.02524201776186756,0.026752400567836412
8,1994,8131,5315332947.953125,0.02442951909985543,0.03814356912612399
9,1994,8137,5221555873.25,0.02501266738044738,-0.02223460713670681
10,1994,8170,5285182602.8125,0.02496510970919928,0.010572986516859985
11,1994,8195,5071684569.375,0.02599931482152868,-0.04203232042832462
12,1994,8194,5122326797.03125,0.02618281660984441,0.00810288412875756
1,1995,8178,5205107547.109375,0.02596774961843529,0.015492834320031092
2,1995,8185,5392680853.34375,0.02502493647375177,0.03413418420939658
3,1995,8185,5547064496.859375,0.0244746980760132,0.021908409861039733
4,1995,8209,5683305036.1875,0.02407291572473464,0.019975804913186044
5,1995,8214,5861544603.765625,0.02348460593734257,0.028648513471185477
6,1995,8241,6051047134.90625,0.02275992056082239,0.02595305368352243
7,1995,8263,6285373012.0625,0.02213197732853721,0.035442633419052245
8,1995,8300,6342355054.953125,0.02207568045348648,0.004745570184079723
9,1995,8319,6580295505.625,0.02131159168579757,0.031218879040384243
10,1995,8364,6517261465.4375,0.02162584612590883,-0.015794124895172297
11,1995,8402,6809616323.203125,0.02091873690252918,0.03749124464621918
12,1995,8469,6925479779.671875,0.02057078417832467,0.010621036449404386
1,1996,8456,7111384457.5,0.02011055013812292,0.0234586784139183
2,1996,8486,7218591651.953125,0.02003556781697717,0.01206271960888016
3,1996,8570,7319874765.953125,0.01983966880976145,0.006837950769448888
4,1996,8623,7538589214.453125,0.01942832916609432,0.021113990286675648
5,1996,8706,7767237276.3125,0.01903845066102524,0.02234039345052083
6,1996,8784,7733856820.234375,0.01920935064505126,-0.012498152308741912
7,1996,8819,7309297101.921875,0.0207075516672636,-0.05958579937404562
8,1996,8864,7565862895.140625,0.01995167521603431,0.027653103370476453
9,1996,8889,7970434031.234375,0.01917606851481339,0.04742948497237788
10,1996,8961,8068198090.25,0.0192080459598618,0.009347671796079716
11,1996,9031,8594383108.3125,0.01802216481756887,0.05938267879846284
12,1996,9054,8505439552.296875,0.01846171045307802,-0.015630176813095455
1,1997,9046,8946943060.09375,0.01759117676959606,0.047978630334331904
2,1997,9061,8930879736.578125,0.01768884354081017,-0.005250475754063853
3,1997,9056,8543573210.828125,0.01880651634060129,-0.05006784913296978
4,1997,9062,8887107467.812904,0.0182225182605102,0.03724772354998862
5,1997,9077,9519320794.796875,0.01694310419721663,0.06489940393546728
6,1997,9079,9930967431.953125,0.01636102598380149,0.03893756959393505
7,1997,9089,10683300679.5,0.0153934556252177,0.06962719674715392
8,1997,9075,10282006317.84375,0.01592641716054724,-0.04119549275048056
9,1997,9068,10921995123.17188,0.01514350370313132,0.052534222178053036
10,1997,9108,10520059193.79688,0.01580608058500947,-0.0391552652763673
11,1997,9149,10837504452.0625,0.01534649774730272,0.02576931894110084
12,1997,9113,11064705450.25,0.01528275631955512,0.013390864214958983
1,1998,9090,11100044088.68891,0.01528754862647707,0.00021007451748913854
2,1998,9082,11898616109.53125,0.01440385214434431,0.06656637552049094
3,1998,9053,12579362848.78125,0.01365483948423613,0.045769114625224636
4,1998,9048,12718874480.20312,0.01366182385756847,0.006681858012433994
